,날짜,요일,일간 조회수,views,hour
0,2025-09-27,토,19,0,0
1,2025-09-06,토,23,0,0
2,2025-09-07,일,24,0,0
3,2025-09-08,월,62,1,0
4,2025-09-09,화,53,0,0
5,2025-09-10,수,55,1,0
6,2025-09-11,목,63,1,0
7,2025-09-12,금,56,2,0
8,2025-09-13,토,17,1,0
9,2025-09-14,일,32,1,0
10,2025-09-15,월,43,3,0
11,2025-09-16,화,52,1,0
12,2025-09-17,수,37,0,0
13,2025-09-18,목,52,1,0
14,2025-09-19,금,42,2,0
15,2025-09-20,토,30,1,0
16,2025-09-21,일,27,1,0
17,2025-09-22,월,55,2,0
18,2025-09-23,화,38,1,0
19,2025-09-24,수,43,2,0
20,2025-09-05,금,40,1,0
21,2025-09-03,수,52,0,0
22,2025-09-02,화,41,0,0
23,2025-09-01,월,48,5,0
24,2025-08-12,화,0,0,0
25,2025-08-13,수,0,0,0
26,2025-08-14,목,74,7,0
27,2025-08-15,금,26,0,0
28,2025-08-16,토,27,1,0
29,2025-08-17,일,26,1,0
30,2025-08-18,월,46,1,0
31,2025-08-19,화,68,4,0
32,2025-08-20,수,71,1,0
33,2025-09-25,목,33,2,0
34,2025-08-21,목,69,3,0
35,2025-08-23,토,26,0,0
36,2025-08-24,일,45,3,0
37,2025-08-25,월,47,1,0
38,2025-08-26,화,75,1,0
39,2025-08-27,수,69,1,0
40,2025-08-28,목,63,0,0
41,2025-08-29,금,45,0,0
42,2025-08-30,토,20,1,0
43,2025-08-31,일,21,0,0
44,2025-08-22,금,45,5,0
45,2025-09-26,금,19,0,0
46,2025-09-04,목,45,1,0
47,2025-09-29,월,39,0,0
48,2025-10-23,목,44,0,0
49,2025-10-24,금,25,0,0
50,2025-10-25,토,23,2,0
51,2025-10-26,일,30,2,0
52,2025-10-27,월,54,1,0
53,2025-10-28,화,39,1,0
54,2025-10-29,수,32,0,0
55,2025-10-30,목,39,0,0
56,2025-10-31,금,32,1,0
57,2025-10-22,수,41,0,0
58,2025-11-01,토,18,0,0
59,2025-11-03,월,26,0,0
60,2025-11-04,화,39,1,0
61,2025-11-05,수,66,0,0
62,2025-11-06,목,54,0,0
63,2025-11-07,금,65,0,0
64,2025-11-08,토,38,0,0
65,2025-11-09,일,36,0,0
66,2025-11-10,월,73,1,0
67,2025-09-28,일,28,2,0
68,2025-11-02,일,13,0,0
69,2025-10-21,화,57,0,0
70,2025-11-11,화,55,0,0
71,2025-10-05,일,16,0,0
72,2025-09-30,화,46,0,0
73,2025-10-01,수,71,2,0
74,2025-10-02,목,55,1,0
75,2025-10-03,금,16,0,0
76,2025-10-04,토,19,2,0
77,2025-10-20,월,55,2,0
78,2025-10-06,월,24,0,0
79,2025-10-07,화,23,1,0
80,2025-10-09,목,40,0,0
81,2025-10-08,수,27,2,0
82,2025-10-11,토,37,0,0
83,2025-10-12,일,35,2,0
84,2025-10-13,월,93,4,0
